NAME,STATE,POPULATION,COUNTY,NAICS_DESC,LEVEL_,TOT_ENROLL,LATITUDE,LONGITUDE
KAPLAN COLLEGE-FORT WORTH,TX,312,TARRANT,JUNIOR COLLEGES,2,284,32.748285159, -97.288868523
PROFESSIONAL GOLFERS CAREER COLLEGE,CA,312,RIVERSIDE,JUNIOR COLLEGES,2,248,33.528952213, -117.163739023
BURNETT INTERNATIONAL COLLEGE,FL,312,PALM BEACH,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",2,281,26.510654775, -80.091478515
NAZARENE THEOLOGICAL SEMINARY,MO,312,JACKSON,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,239,39.009265335, -94.565780607
HARRIS SCHOOL OF BUSINESS-HAMILTON CAMPUS,NJ,313,MERCER,BUSINESS AND SECRETARIAL SCHOOLS,3,287,40.259627276, -74.676808587
SUMNER COLLEGE,OR,313,MULTNOMAH,JUNIOR COLLEGES,2,262,45.461104063, -122.706139565
SUMMIT ACADEMY OPPORTUNITIES INDUSTRIALIZATION CENTER,MN,314,HENNEPIN,OTHER TECHNICAL AND TRADE SCHOOLS,3,258,44.983264807, -93.295151401
ARLINGTON BAPTIST COLLEGE,TX,314,TARRANT,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,250,32.739489302, -97.15602415
ITT TECHNICAL INSTITUTE-AKRON,OH,314,SUMMIT,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,262,41.13424549, -81.624260958
WESTWOOD COLLEGE-ANNANDALE,VA,314,FAIRFAX,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,264,38.832088239, -77.209796692
PENNSYLVANIA COLLEGE OF ART AND DESIGN,PA,314,LANCASTER,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,200,40.041097846, -76.3085991
HERITAGE INSTITUTE-JACKSONVILLE,FL,314,DUVAL,JUNIOR COLLEGES,2,285,30.254002653, -81.596020564
EASTLAND-FAIRFIELD CAREER AND TECHNICAL SCHOOLS,OH,315,FRANKLIN,OTHER TECHNICAL AND TRADE SCHOOLS,3,221,39.88666971, -82.884304555
SIMMONS COLLEGE OF KENTUCKY,KY,315,JEFFERSON,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,261,38.239519474, -85.764810723
UNIVERSITY OF PITTSBURGH MEDICAL CENTER-SHADYSIDE SCHOOL OF,PA,315,ALLEGHENY,OTHER TECHNICAL AND TRADE SCHOOLS,2,265,40.454414665, -79.940830788
NORTH-WEST COLLEGE-POMONA,CA,315,LOS ANGELES,OTHER TECHNICAL AND TRADE SCHOOLS,3,268,34.062102852, -117.751045624
GENE JUAREZ ACADEMY OF BEAUTY-FEDERAL WAY,WA,315,KING,COSMETOLOGY AND BARBER SCHOOLS,3,277,47.320505253, -122.304472343
CAMEO COLLEGE OF ESSENTIAL BEAUTY,UT,315,SALT LAKE,COSMETOLOGY AND BARBER SCHOOLS,2,284,40.644877426, -111.888446732
ST LUKE'S COLLEGE,IA,315,WOODBURY,JUNIOR COLLEGES,1,254,42.517805874, -96.404922137
ITT TECHNICAL INSTITUTE-DESOTO,TX,316,DALLAS,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,263,32.591567097, -96.878130906
OHIO BUSINESS COLLEGE-SANDUSKY,OH,316,ERIE,JUNIOR COLLEGES,2,264,41.414861, -82.666407
CANKDESKA CIKANA COMMUNITY COLLEGE,ND,316,BENSON,JUNIOR COLLEGES,2,185,47.978122, -98.990801
EVEREST COLLEGE-SKOKIE,IL,316,COOK,OTHER TECHNICAL AND TRADE SCHOOLS,3,279,42.059881902, -87.760706551
ACCESS CAREERS,NY,317,KINGS,OTHER TECHNICAL AND TRADE SCHOOLS,3,286,40.689430911, -73.983834149
VATTEROTT COLLEGE-APPLING FARMS,TN,317,SHELBY,JUNIOR COLLEGES,2,285,35.179508427, -89.829910122
AUSTIN'S SCHOOL OF SPA TECHNOLOGY,NY,317,ALBANY,COSMETOLOGY AND BARBER SCHOOLS,3,283,42.680756133, -73.788705881
EMPEROR'S COLLEGE OF TRADITIONAL ORIENTAL MEDICINE,CA,317,LOS ANGELES,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,222,34.030528491, -118.484719014
PONTIFICAL COLLEGE JOSEPHINUM,OH,317,FRANKLIN,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,226,40.120104145, -83.018668982
ITT TECHNICAL INSTITUTE-GREENVILLE,SC,317,GREENVILLE,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,269,34.835902422, -82.29697977
ITT TECHNICAL INSTITUTE-ARNOLD,MO,317,JEFFERSON,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,257,38.40891303, -90.386702302
RIO GRANDE BIBLE INSTITUTE,TX,318,HIDALGO,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,132,26.260466639, -98.172526711
FIRST INSTITUTE INC,IL,318,MCHENRY,OTHER TECHNICAL AND TRADE SCHOOLS,3,286,42.21929891, -88.33942859
TAYLOR BUSINESS INSTITUTE,IL,318,COOK,JUNIOR COLLEGES,2,280,41.879700084, -87.636248709
MARIAN COURT COLLEGE,MA,318,ESSEX,JUNIOR COLLEGES,1,277,42.465336252, -70.889179736
HARRISON COLLEGE-GROVE CITY,OH,318,FRANKLIN,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,273,39.882289705, -83.045729392
MEMPHIS THEOLOGICAL SEMINARY,TN,319,SHELBY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,279,35.133109756, -89.982652992
YO SAN UNIVERSITY OF TRADITIONAL CHINESE MEDICINE,CA,319,LOS ANGELES,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,219,33.993286895, -118.442755633
ALL-STATE CAREER SCHOOL-PITTSBURGH,PA,319,ALLEGHENY,OTHER TECHNICAL AND TRADE SCHOOLS,3,269,40.396915348, -79.828242276
NATIONAL AMERICAN UNIVERSITY-ALBUQUERQUE WEST,NM,319,BERNALILLO,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,295,35.231087, -106.659617
CARVER CAREER CENTER,WV,319,KANAWHA,JUNIOR COLLEGES,2,259,38.289708403, -81.562988382
MIDWEST TECHNICAL INSTITUTE-MOLINE,IL,319,ROCK ISLAND,OTHER TECHNICAL AND TRADE SCHOOLS,2,289,41.489394031, -90.483614432
SOUTH UNIVERSITY-AUSTIN,TX,319,WILLIAMSON,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,249,30.459288554, -97.751416632
SALTER SCHOOL OF NURSING AND ALLIED HEALTH,NH,320,HILLSBOROUGH,OTHER TECHNICAL AND TRADE SCHOOLS,3,270,42.979155424, -71.449422099
AMERICAN ACADEMY OF DRAMATIC ARTS-NEW YORK,NY,320,NEW YORK,JUNIOR COLLEGES,2,253,40.745545191, -73.984843246
GREEN COUNTRY TECHNOLOGY CENTER,OK,320,OKMULGEE,BUSINESS AND SECRETARIAL SCHOOLS,3,290,35.610547, -95.960293
CAPE CORAL INSTITUTE OF TECHNOLOGY,FL,320,LEE,OTHER TECHNICAL AND TRADE SCHOOLS,3,282,26.643211632, -81.975260582
FORTIS INSTITUTE-LAWRENCEVILLE,NJ,321,MERCER,OTHER TECHNICAL AND TRADE SCHOOLS,3,290,40.260809257, -74.719093703
"CHRISTINE VALMY INTERNATIONAL SCHOOL FOR ESTHETICS, SKIN CAR",NY,321,NEW YORK,COSMETOLOGY AND BARBER SCHOOLS,3,278,40.744988434, -73.986556566
HERZING UNIVERSITY-MINNEAPOLIS,MN,321,HENNEPIN,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,263,45.056273049, -93.366498081
WESTWOOD COLLEGE-RIVER OAKS,IL,321,COOK,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,269,41.595556174, -87.53174153
PAUL MITCHELL THE SCHOOL-TEMECULA,CA,321,RIVERSIDE,COSMETOLOGY AND BARBER SCHOOLS,3,277,33.506578555, -117.14647447
M-DCPS THE ENGLISH CENTER,FL,321,MIAMI-DADE,BUSINESS AND SECRETARIAL SCHOOLS,3,164,25.739631489, -80.251702414
PAUL MITCHELL THE SCHOOL-LAS VEGAS,NV,321,CLARK,COSMETOLOGY AND BARBER SCHOOLS,2,284,36.016621448, -115.117161429
DAYTONA COLLEGE,FL,321,VOLUSIA,JUNIOR COLLEGES,2,276,29.270087975, -81.080155007
STEVENS-HENAGER COLLEGE,UT,322,UTAH,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,270,40.26969107, -111.713264078
ANTIOCH UNIVERSITY-MIDWEST,OH,322,GREENE,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,256,39.803207, -83.908684
BURLINGTON COLLEGE,VT,322,CHITTENDEN,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,224,44.491156, -73.228266
ITT TECHNICAL INSTITUTE-EVERETT,WA,323,SNOHOMISH,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,279,47.930836324, -122.256440563
INTERNATIONAL SCHOOL OF SKIN NAILCARE & MASSAGE THERAPY,GA,323,FULTON,COSMETOLOGY AND BARBER SCHOOLS,3,293,33.905856023, -84.380476839
OCEAN CORPORATION,TX,323,HARRIS,OTHER TECHNICAL AND TRADE SCHOOLS,3,298,29.665484969, -95.570272342
PAUL MITCHELL THE SCHOOL-SHERMAN OAKS,CA,323,LOS ANGELES,COSMETOLOGY AND BARBER SCHOOLS,3,291,34.155711019, -118.467748601
SEMINAR L'MOROS BAIS YAAKOV,NY,323,KINGS,OTHER TECHNICAL AND TRADE SCHOOLS,3,281,40.634807, -73.985467
PACIFIC COLLEGE,CA,323,ORANGE,JUNIOR COLLEGES,1,274,33.68004251, -117.87338175
FLAGLER TECHNICAL INSTITUTE,FL,324,FLAGLER,OTHER TECHNICAL AND TRADE SCHOOLS,3,269,29.552456877, -81.240642512
EUPHORIA INSTITUTE OF BEAUTY ARTS & SCIENCES-SUMMERLIN,NV,325,CLARK,COSMETOLOGY AND BARBER SCHOOLS,2,297,36.14741607, -115.300578337
PORTER AND CHESTER INSTITUTE OF BRANFORD,CT,325,NEW HAVEN,OTHER TECHNICAL AND TRADE SCHOOLS,3,286,41.277310668, -72.854898476
NEVADA CAREER INSTITUTE,NV,325,CLARK,OTHER TECHNICAL AND TRADE SCHOOLS,3,283,36.218386493, -115.208432784
ETI SCHOOL OF SKILLED TRADES,IL,326,DUPAGE,OTHER TECHNICAL AND TRADE SCHOOLS,3,294,41.983611609, -88.030172371
SEACOAST CAREER SCHOOL-MANCHESTER CAMPUS,NH,326,HILLSBOROUGH,OTHER TECHNICAL AND TRADE SCHOOLS,3,291,42.997766143, -71.468776709
MAKE-UP DESIGNORY,CA,326,LOS ANGELES,COSMETOLOGY AND BARBER SCHOOLS,3,216,34.180238089, -118.308335522
CINTA AVEDA INSTITUTE,CA,326,SAN FRANCISCO,COSMETOLOGY AND BARBER SCHOOLS,2,241,37.7910305, -122.404385882
NATIONAL AMERICAN UNIVERSITY-LEE'S SUMMIT,MO,326,JACKSON,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,309,38.919788274, -94.402645325
ITT TECHNICAL INSTITUTE-SPRINGFIELD,IL,327,SANGAMON,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,275,39.764697587, -89.689275624
THE ROBERT B MILLER COLLEGE,MI,327,CALHOUN,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,276,42.33322485, -85.178860907
NORTHWEST TECHNICAL INSTITUTE,AR,328,WASHINGTON,OTHER TECHNICAL AND TRADE SCHOOLS,3,267,36.178031947, -94.115346473
HIGH PLAINS TECHNOLOGY CENTER,OK,328,WOODWARD,OTHER TECHNICAL AND TRADE SCHOOLS,3,262,36.406210184, -99.427303919
TOHONO O'ODHAM COMMUNITY COLLEGE,AZ,328,PIMA,JUNIOR COLLEGES,2,225,31.91835282, -111.861074608
PHILLIPS GRADUATE INSTITUTE,CA,328,LOS ANGELES,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,222,34.241980082, -118.567673373
